title,scored_by,popularity,members,premiered,genre
"Minami Kamakura Koukou Joshi Jitenshabu: Kita yo, Taiwan!",1039,6564,2296,,"Sports, School, Shounen"
Barom One,265,8207,1033,Winter 2003,"Action, Sci-Fi, Supernatural, Shounen"
Omedetou Jesus-sama,12,12625,117,,"Historical, Kids"
Kaitou Yumenosuke,8,14158,36,,"Kids, Magic, Music"
InuYasha: Kanketsu-hen,69154,626,133736,Fall 2009,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
Piano no Mori,14631,1908,35921,,"Adventure, Music, Comedy, Drama, School, Seinen"
Usavich Special,893,7423,1515,,"Adventure, Comedy"
Inyouchuu Shoku: Harami Ochiru Shoujo-tachi Anime Edition,272,7886,1222,,"Hentai, Demons"
One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,27911,1586,47452,,"Adventure, Comedy, Fantasy, Shounen"
Norasco (Movie),3,13507,76,,"Slice of Life, Comedy"
Gundam Build Fighters OVA,0,6685,2167,,"Action, Mecha, Sci-Fi"
Bemubemu Hunter Kotengu Tenmaru,21,11538,175,Spring 1983,"Adventure, Fantasy"
World Fool News,197,9543,497,,"Comedy, Slice of Life"
Geragera Boes Monogatari,560,8164,1058,Spring 1987,"Comedy, Kids"
Chibikuro Sambo to Futago no Otouto,8,13149,91,,Kids
Greek Roman Sinhwa: Olympus Guardian,36,9835,420,Winter 2003,"Adventure, Fantasy, Historical"
Sugar Bunnies: Taisetsu na Tomodachi e...,9,13022,98,,Kids
Detective Conan Magic File 3: Shinichi and Ran - Memories of Mahjong Tiles and Tanabata,3950,3936,8460,,"Mystery, Shounen"
Mirai Koushi Harima SACLA,389,8778,766,,"Music, Sci-Fi"
Manga Nihon Emaki,19,11345,190,Fall 1977,Historical
Unico,1184,6191,2734,,"Adventure, Fantasy, Kids"
Cinderella Girls Gekijou: Kayou Cinderella Theater,1310,6150,2770,,"Comedy, Slice of Life"
Oh! Edo Rocket,3186,3788,9331,Spring 2007,"Comedy, Drama, Fantasy, Historical, Sci-Fi"
Urashima Tarou,532,8367,953,,Historical
PopoloCrois,408,7768,1283,Fall 2003,"Adventure, Fantasy"
Guy: Youma Kakusei,470,7904,1212,,"Action, Space, Hentai, Sci-Fi"
Riding the Storm,58,12735,114,,Music
Symphonic Variations,89,11663,170,,Music
Hato no Oyome-san,31,11074,217,Spring 2011,Comedy
Kiki to Lala no Mamatte Suteki!,20,12997,99,Fall 2013,"Kids, Magic"
Uragiri wa Boku no Namae wo Shitteiru,25180,1243,65520,Spring 2010,"Adventure, Drama, Fantasy, Shoujo, Shounen Ai"
Fatal Fury 2: The New Battle,3553,4572,5898,Fall 2013,"Action, Adventure, Drama, Martial Arts, Shounen"
Moetan,7151,2571,21456,Summer 2007,"Comedy, Ecchi, Magic, School"
Manie-Manie: Meikyuu Monogatari,5600,3135,14456,Fall 2013,"Adventure, Fantasy, Horror, Sci-Fi, Supernatural"
Tentai Senshi Sunred,4648,3037,15307,Fall 2008,"Comedy, Parody, Super Power, Seinen"
Brain Powerd,1629,4485,6153,Spring 1998,"Action, Adventure, Mecha, Sci-Fi"
Jishin da!! Mii-chan no Bousai Kunren,5,13701,66,Fall 2013,"Drama, Kids"
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,27502,1679,43725,,"Adventure, Comedy, Romance"
Futago no Haha Seihonnou,1105,6027,2908,,Hentai
Aneki no Kounai Kaikinbi,1899,5103,4465,,Hentai
Saimin Gakuen,1218,5498,3697,,Hentai
Go! Go! Veggie-tan,14,13555,73,,"Sci-Fi, Space, Kids"
Akazukin Chanto Manabou! Koutsuu Rule,15,13306,85,,"Drama, Kids"
Kimi no Sumu Machi,295,8976,686,,Comedy
Yamakoshi Mura no Mari to Sanbiki no Koinu,7,13024,98,,"Drama, Kids"
Muzumuzu Eighteen,9,12051,144,Spring 2016,Slice of Life
Inumarudashi,58,9794,431,Summer 2011,Comedy
Shokugeki no Souma: Ni no Sara OVA,25417,1376,58264,,"Ecchi, School, Shounen"
Swamp Stamp Anime Edition,492,7368,1565,,Hentai
Seisen Gakuin,673,6760,2090,,Hentai
Gundam: Mission to the Rise,1272,5759,3295,,"Action, Mecha, Sci-Fi"
Suhoyojeong Michel,106,9669,463,Summer 2003,"Adventure, Fantasy, Kids"
Ajin Part 3: Shougeki,1678,3213,13844,,"Action, Horror, Mystery, Seinen, Supernatural"
Skyers 5,23,11434,185,Fall 1967,"Action, Sci-Fi"
Taimanin Asagi 2,1422,5567,3576,,"Demons, Hentai, Supernatural"
Ashita Tenki ni Naare,130,9920,402,Fall 1984,"Sports, Shounen"
Sasami: Mahou Shoujo Club 2,987,6154,2764,Fall 2006,"Fantasy, Magic, School"
Manga Aesop Monogatari (TV),48,10905,233,Fall 1983,"Comedy, Fantasy, Kids"
Kosys! Lite: Tsuyoku Suishou Bansaku no Sunglasses - Password Tsukai-mawashi no Jutsu,17,13160,91,,"Comedy, Slice of Life"
Makai Tenshou,2495,4989,4724,,"Action, Supernatural, Samurai, Historical"
Renai Boukun,66701,536,150774,Spring 2017,"Harem, Comedy, Supernatural, Romance, Ecchi, School"
Amagami SS: Tachibana Miya-hen - Imouto,22389,1874,36819,,School
Dragon Slayer Eiyuu Densetsu: Ouji no Tabidachi,303,8457,906,,"Action, Fantasy, Magic"
Umo,80,12024,147,,Music
Present (Music),14,14335,28,,Music
Yuu☆Yuu☆Hakusho,135610,246,272713,Fall 1992,"Action, Comedy, Demons, Supernatural, Martial Arts, Shounen"
Pikmin Short Movies,353,8834,739,Fall 2013,"Kids, Fantasy"
Densetsu no Yuusha no Densetsu,85752,448,177912,Summer 2010,"Action, Adventure, Magic, Fantasy, Shounen"
Hachimitsu to Clover Specials,12736,2455,23370,,"Comedy, Drama, Josei, Romance, Slice of Life"
Kagewani,8890,2468,23102,Fall 2015,"Horror, Mystery, Supernatural, Thriller"
Shin Ace wo Nerae!,140,8525,875,Fall 1978,"Drama, Romance, School, Shoujo, Sports"
Hentai Ouji to Warawanai Neko.: Henneko BBS,9142,2618,20892,,Comedy
Zero no Tsukaima: Princesses no Rondo Picture Drama,13949,2092,30523,,"Action, Adventure, Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School"
Fuse: Teppou Musume no Torimonochou,6937,2826,17752,,"Action, Drama, Historical, Supernatural"
Hataraku Onii-san! No 2!,0,9837,418,Summer 2018,"Comedy, Slice of Life"
Son O-gong gwa Byeoldeul-ui Jeonjaeng,21,12206,137,Fall 2013,"Action, Adventure, Space"
Shouri Toushu,10,12452,125,Fall 2013,Sports
Backkom Mission Impossible,59,11757,161,Fall 2013,"Comedy, Kids, Parody"
Zhen Hun Jie,2168,3916,8564,,"Action, Supernatural"
Egao no Orquesta!,206,9312,562,Fall 2013,Music
To LOVE-Ru OVA,60417,862,101414,,"Comedy, Ecchi, Harem, School, Sci-Fi, Shounen"
Mobile Suit SD Gundam Mk IV,697,6761,2090,,"Mecha, Parody, Sci-Fi"
Brave Witches,10457,1951,34499,Fall 2016,"Action, Military, Sci-Fi, Magic"
Dokaben,66,9755,439,Fall 1976,"Action, Sports, School, Shounen"
Sabage-bu!,35337,927,91973,Summer 2014,"Action, Military, Comedy, Shoujo"
Gomen yo! Wanwan,7,14270,29,,"Music, Kids"
Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,2712,3670,10087,,"Police, Mecha, Military, Mystery, Sci-Fi, Seinen"
One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,11061,2592,21155,,"Adventure, Comedy, Historical, Fantasy, Shounen"
Haikyuu!!: Lev Genzan!,24547,1652,44763,,"Sports, Shounen"
Black Jack (TV): Hizouban Specials,677,6806,2048,,Adventure
Love Machine: Animaid Shoufu 23-gou,121,9419,528,,Hentai
Downloader,2593,5184,4280,,Music
Venus Senki,3097,4281,6903,,"Action, Sci-Fi, Adventure, Space"
It Seems like a Frog,25,13950,51,,Music
Kaze no Matasaburou,209,9229,594,,"Slice of Life, Kids, Fantasy"
Bible Black: New Testament Recap,1368,5518,3668,,Hentai
Golden Batman,176,9231,591,,"Action, Kids"
Momoko,163,9096,643,,"Hentai, Romance"
Hello Kitty: Ringo no Mori to Parallel Town,41,11383,188,Fall 2007,"Comedy, Fantasy, Kids"
Robot King,28,12472,125,,"Action, Mecha"
Eroge! H mo Game mo Kaihatsu Zanmai,13253,2115,29892,,Hentai
Fushigi na Taiko,44,11624,170,,Kids
Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!,1709,5598,3531,,"Action, Adventure, Comedy, Drama, Sci-Fi, Shounen"
Kabi Usagi: Game Center,22,13239,87,,Comedy
Nara Shika Monogatari,144,10619,276,,Comedy
Initial D Extra Stage,12100,2567,21475,,"Action, Cars, Sports, Drama, Seinen"
Z/X: Code Reunion,1,8340,974,Fall 2019,"Fantasy, School, Sci-Fi, Shounen"
Tsumamigui,1314,5528,3645,,Hentai
Netorare: Tanabe Yuuka no Dokuhaku,906,6293,2606,,Hentai
300 En no Otsukiai Anime Edition,1273,6000,2948,,Hentai
Gakkou no Kaidan (OVA),102,9051,657,,"Comedy, Horror, Mystery, Supernatural"
Otogi Story Tenshi no Shippo,4243,3586,10595,Fall 2001,"Fantasy, Magic, Comedy, Harem, Romance"
Hello Kitty no Hansel to Gretel,51,11565,174,,"Fantasy, Kids"
REACH x Thermae Romae: Pietrada no Kekkon,130,9878,410,,"Comedy, Historical, Seinen"
91 Daze,207,8618,834,,"Comedy, Historical"
Xiyue Qi Tong,16,13400,81,,"Action, Adventure, Fantasy"
Dirty Pair Flash,2184,4747,5381,,"Action, Adventure, Police, Comedy, Sci-Fi"
Maken Liner 0011 Henshin Seyo!,114,10185,348,,"Action, Mecha, Sci-Fi"
Makai Toshi Shinjuku,4521,3775,9392,,"Adventure, Horror, Romance, Shounen, Supernatural"
Psycho-Pass 2,173042,180,324136,Fall 2014,"Action, Sci-Fi, Police, Psychological"
Gundam Build Divers,1441,3924,8506,Spring 2018,"Action, Mecha, Sci-Fi"
Chimera: Target I Datenshi Kourin,388,8198,1039,Fall 2013,"Hentai, Drama"
Roppou Yabure-kun,9,12410,127,Spring 1969,Slice of Life
Nintama Rantarou: Dokutake Onsen no Dan,24,11877,155,,Comedy
Quote,73,10988,227,,Music
Dragon Quest: Dai no Daibouken Buchiyabure!! Shinsei 6 Daishougun,268,8373,949,,"Action, Adventure, Magic, Fantasy, Shounen"
Nekoronde TV.,14,13483,77,,Comedy
Mahoutsukai Nara Miso wo Kue!,2473,4912,4874,,"Magic, Fantasy, School"
Cinderella Girls Gekijou 2nd Season Specials,50,8682,806,,"Slice of Life, Comedy"
Teo the Magic Planet Pilot,31,13288,87,,"Adventure, Fantasy"
Onyankopon,289,8475,899,,"Music, Comedy, School"
Pika Don,233,9470,516,,"Drama, Historical"
Asonde Oboeru Gakushuu DVD,7,14051,42,,Kids
Nils no Fushigi na Tabi,1766,5708,3375,Winter 1980,"Kids, Adventure, Fantasy"
Ankoku Cat,909,6886,1966,,"Action, Comedy"
Konohana no Sakuya Mori,47,12671,115,,Dementia
Toji no Miko Recap,599,7274,1650,,"Action, Fantasy"
Sacred Seven: Shirogane no Tsubasa Picture Drama,495,6947,1929,,"Action, Comedy, School, Sci-Fi, Super Power"
Frypan Jiisan,42,12594,118,,"Kids, Adventure"
Enshou Nihon Mukashibanashi,117,9973,392,,"Comedy, Hentai, Historical"
Working!!!,66541,674,124707,Summer 2015,"Comedy, Romance, Slice of Life"
Schwarzesmarken,26434,1163,70801,Winter 2016,"Action, Military, Sci-Fi, Historical, Drama, Mecha"
Super Milk-chan,1204,6005,2950,Summer 1998,"Action, Comedy, Parody, Sci-Fi"
Super Robot Taisen OG: Divine Wars Special,772,6957,1921,,"Action, Comedy, Mecha"
Piece,713,7481,1476,,Music
Roots Search: Shokushin Buttai X,816,7228,1683,,"Sci-Fi, Space, Horror"
Boku wa Ou-sama (TV),23,11335,192,Spring 2013,Kids
Cleavage,3859,3959,8386,,Hentai
Lupin III: Babylon no Ougon Densetsu,1781,5261,4110,,"Action, Adventure, Mystery, Comedy, Seinen"
Angel Blade: Ultimate Edition - Tokuteneizou,615,7200,1696,,"Sci-Fi, Hentai"
Lolling Seutajeu,14,12405,127,Spring 2009,"Kids, Sports"
"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou (ONA)",31,12073,144,,"Cars, Comedy"
Kentoushi,14,12197,137,,"Seinen, Sports"
Osaru no Kantai,387,8965,687,,"Military, Music"
Harukanaru Toki no Naka de: Hachiyou Shou Recap,86,9642,470,,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo"
Yakin Byoutou Specials,265,8335,968,,Hentai
Mochi Mochi no Ki (OVA),8,13356,83,,"Kids, Drama"
Doraemon: Benkyou Heya no Tsuribori,59,11073,216,,"Comedy, Kids, Sci-Fi, Shounen"
Madonna: Kanjuku Body Collection,790,6133,2795,,"Harem, Hentai"
Kutsuya to Kobito,20,13578,72,,"Fantasy, Kids"
GJ8man,18,12460,124,,"Comedy, Super Power"
Kaishain vs. Credit Card Kachou: CreCar no Rule Shitteru kai?,2,14141,37,,Comedy
Love Hina Christmas Special: Silent Eve,30949,1563,48377,,"Slice of Life, Comedy, Romance"
Futari no Joe,143,9170,613,,"Shounen, Sports"
Hetalia: The Beautiful World Extra Disc,2560,4422,6379,,"Comedy, Historical, Parody"
Pom Pom Purin no Usagi to Kame,28,12321,132,,"Kids, Fantasy"
The Legend of Huainanzi,6,11460,183,,"Adventure, Fantasy, Historical"
Yuuki Yuuna wa Yuushabu Shozoku,622,5913,3070,,"Slice of Life, Comedy, Magic, Fantasy"
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,60064,748,115228,,"Psychological, Drama, Magic, Thriller"
Yowamushi Pedal: Grande Road,40581,1140,72279,Fall 2014,"Comedy, Drama, Shounen, Sports"
Ginga Tetsudou 999: Akai Hoshi Betelgeuze - Inochi no Kagayaki,36,10224,341,Fall 2013,"Adventure, Space, Drama, Sci-Fi"
Monmusu Quest!,649,6578,2285,,"Demons, Hentai"
Lupin III: Princess of the Breeze - Kakusareta Kuuchuu Toshi,1167,6080,2860,,"Action, Adventure, Comedy, Seinen"
Pupa,54091,809,107102,Winter 2014,"Fantasy, Horror, Psychological"
One Piece Film: Strong World,73981,755,114843,,"Action, Adventure, Comedy, Drama, Fantasy, Shounen"
Uju Jeonsa Hong Gildong,17,12928,103,,"Action, Kids, Adventure, Space, Sci-Fi"
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,3830,4090,7761,,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
Alice in Cyberland,148,8548,864,,"Action, Sci-Fi"
Inazma Delivery,51,9890,410,Winter 2017,"Action, Sci-Fi, Comedy"
Shin Kyouhaku 2 The Animation: Kizu ni Saku Hana Senketsu no Kurenai,437,7483,1477,,Hentai
CCW: Crazy Clay Wrestling,1008,7568,1423,,Sports
Discode: Ijou Seiai,2274,4777,5297,,Hentai
Aneki... My Sweet Elder Sister The Animation,3179,4069,7857,,Hentai
Kuruneko (ONA),23,10000,385,,"Slice of Life, Comedy"
Jin-Rou,40626,994,84960,,"Military, Police, Psychological, Drama, Romance"
Halved,53,13093,95,,Music
Kigyou Senshi Arslan,617,5442,3781,,"Comedy, Parody"
Fuuma no Kojirou: Seiken Sensou-hen,313,8524,876,,"Action, Martial Arts, Fantasy, Shounen"
Zoku Koihime,721,6826,2029,,"Fantasy, Harem, Hentai, Magic, Supernatural"
Futari wa Precure: Max Heart,3845,3802,9240,Winter 2005,"Action, Comedy, Fantasy, Magic, Shoujo"
Hatsukoi Monster,16387,1398,57331,Summer 2016,"Comedy, Romance, School, Shoujo"
Jii Tousaku,332,8191,1041,,Hentai
Mirai no Watashi,1148,6593,2263,,"Slice of Life, Comedy"
Play Jazz,81,11513,179,,Dementia
Hello Kitty: Ringo no Mori no Fantasy,74,10527,289,Spring 2006,"Comedy, Fantasy, Kids"
Precure kara Minna e no Ouen Movie,374,7942,1190,,"Fantasy, Magic, Shoujo"
Persona 4 the Golden Animation,20776,1520,50822,Summer 2014,"Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School"
Elfen Lied,514656,16,833388,Summer 2004,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen"
Tomodachi 8-nin,15,11652,169,Spring 2011,"Comedy, Kids"
Papillon Rose,555,6556,2304,Winter 2006,"Ecchi, Magic, Comedy, Parody"
Fengshen Bang,24,13234,88,,"Action, Fantasy, Martial Arts"
69 Pink Riders 2,187,8940,693,,Hentai
Lupin III: Pilot Film,2235,4976,4756,,"Action, Comedy, Seinen"
Ultra Maniac OVA,1966,5148,4362,,"Magic, Comedy, Romance, School"
Youtai Nuhai Zai Shanghai 2: Xianglian Mima,5,14004,48,Winter 2002,"Military, Historical, Drama"
Usatalk,50,12719,114,,Dementia
Omoi Au Christmas 2011,32,13225,88,,Fantasy
Poppoya-san: Nonki Kikanshi,9,13103,94,,Kids
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,29637,1294,62803,,"Action, Adventure, Comedy, Romance, Fantasy"
Rape! Rape! Rape!,2215,4821,5164,,Hentai
Onaka no Ookina Ouji-sama,87,11719,165,,Music
Gakken no Zunou Kaihatsu Video,1,13631,69,,"Music, Kids"
Pa-Pa-Pa the ★ Movie: Perman - Tako de Pon! Ashi wa Pon!,34,12039,145,,"Kids, Adventure, Comedy, Super Power"
Kangaroo no Tanjoubi,280,9373,540,,Adventure
Arata naru Sekai: World&#039;s/Start/Load/End,7307,2986,15870,,Sci-Fi
Chikasugi Idol Akae-chan,21,11576,173,Winter 2014,"Game, Comedy, Parody"
Thermae Romae x Yoyogi Animation Gakuin Collaboration,812,7521,1450,,"Comedy, Historical, Seinen"
Weaving,34,13146,92,,Fantasy
Memories: Younenki no Joukei,102,11215,203,,Dementia
Genji Monogatari Sennenki,2386,3696,9870,Winter 2009,"Drama, Historical, Romance"
Shin Onimusha: Dawn of Dreams the Story,308,8654,818,,"Action, Historical, Demons, Martial Arts, Samurai"
Tsuiseki,43,12329,130,,Dementia
Pico to Chico,24261,1821,38504,,"Hentai, Yaoi"
Tokimeki Memorial: Only Love,12136,2194,28110,Fall 2006,"Comedy, Harem, Romance, School"
Sekirei: Hajimete no Otsukai,21983,1838,37899,,Comedy
Inugami-san to Nekoyama-san,23524,1584,47485,Spring 2014,"Comedy, School, Shoujo Ai"
Hataraku Otona no Renai Jijou The Animation,968,6183,2736,,Hentai
Reset,8,14230,33,,Music
Uchuu Kyoudai: Apo&#039;s Dream,924,6195,2728,,"Comedy, Sci-Fi, Space"
3-tsu no Kumo,494,8026,1135,,Dementia
Servamp Specials,705,3922,8517,,"Comedy, Josei"
Pokemon: Kesshoutou no Teiou Entei,60637,927,91915,,"Action, Adventure, Comedy, Kids, Drama, Fantasy"
Kaitou Joker 2nd Season,1488,5589,3543,Spring 2015,"Adventure, Comedy, Mystery, Shounen"
Super Teukgeup Mazinger 7,195,9571,490,,"Sci-Fi, Mecha"
Kuroko no Basket: Last Game NG-shuu,431,5049,4585,,"Comedy, Sports, Shounen"
Wonder 3 Pilot,15,12803,109,,"Action, Adventure, Comedy, Sci-Fi"
X Maiden: Izakaya Tamaki,25,11741,163,,Comedy
Wansa-kun OVA,12,12823,108,,"Comedy, Kids"
Nyancos: Hello! Our Brilliant Future Digest,21,13142,92,,"Sci-Fi, Space"
Yodaka no Hoshi (Music),387,8945,697,,"Slice of Life, Fantasy, Music, Drama"
Free!,201622,151,354642,Summer 2013,"Slice of Life, Comedy, Sports, Drama, School"
"Nee, ...Shiyo♥",641,7026,1859,,Hentai
Aku no Onna Kanbu,2153,4618,5729,,Hentai
Kasei Yakyoku,173,8468,907,,"Historical, Drama, Romance"
Kemeko no Love,533,8463,907,,Comedy
Shounen Tokugawa Ieyasu,16,11591,173,Spring 1975,"Drama, Historical, Shounen"
Catman Specials,178,9799,429,,"Slice of Life, Fantasy, Comedy"
Mahoutsukai Sally 2,317,8568,858,Fall 1989,"Comedy, Magic, Shoujo"
Nerima Daikon Brothers,2620,4447,6289,Winter 2006,"Comedy, Music"
Genius Party,8601,2480,22948,,"Action, Sci-Fi, Music, Dementia, Psychological, Romance, Fantasy, Mecha"
Nora to Oujo to Noraneko Heart,8409,2226,27618,Summer 2017,"Comedy, Ecchi"
Moon Festa,64,12223,137,Fall 2013,Music
Taisei Kensetsu: Bosporus Kaikyou Tunnel,1892,5616,3512,,Drama
Pokemon XY&Z Specials,1469,5851,3149,,"Action, Adventure, Comedy, Kids, Fantasy"
Suntory CMs,176,9233,590,,Slice of Life
Tonari no Kyuuketsuki-san,0,8951,696,,"Comedy, Slice of Life, Supernatural, Vampire"
Hashire!,391,9056,656,Fall 2013,Comedy
Kumo no Ito,133,10019,379,Fall 2013,Fantasy
Glass no Kamen Desu ga the Movie: Onna Spy no Koi! Murasaki no Bara wa Kiken na Kaori!?,92,9258,580,Fall 2013,"Comedy, Parody"
Gamba no Bouken,348,7668,1350,Spring 1975,"Adventure, Kids"
Grandeek,392,8117,1091,Summer 2013,"Adventure, Fantasy, Magic"
Sekirei: Pure Engagement Episode 0,17634,1998,32938,,"Ecchi, Comedy, Harem"
Bomberman B-Daman Bakugaiden Victory,463,7988,1158,Winter 1999,"Sci-Fi, Shounen"
Eyeshield 21: Maboroshi no Golden Bowl,2676,4429,6367,,"Sports, Shounen"
Detective Conan: The Fugitive Kogorou Mouri,1505,5573,3569,,"Mystery, Comedy"
Koro Koro Kuririn no Inaka no Nezumi Tokai no Nezumi,32,12049,144,Fall 2013,"Kids, Fantasy"
Dankichi-jima no Olympic Taikai,478,8697,799,Summer 2013,"Action, Sports"
Kappa no Ude,45,12888,105,Summer 2013,Fantasy
Hello Kitty no Cinderella (OVA),58,11533,176,Summer 2013,"Kids, Fantasy"
A-Channel: +A-Channel,7328,3087,14854,Winter 1999,"Comedy, School, Slice of Life, Seinen"
Wakusei Robo Danguard Ace tai Konchuu Robot Gundan,99,10298,329,Summer 2013,"Mecha, Sci-Fi"
Imokawa Mukuzo: Genkanban no Maki,111,10393,314,Summer 2013,Comedy
Barakamon: Mijikamon,10857,2483,22869,,Comedy
Chou Henshin Cosprayers,2276,4462,6222,Winter 2004,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi"
Chicken Papa,49,12425,126,Summer 2013,Comedy
Soukan Yuugi 2,1297,5789,3241,,Hentai
Ima demo Senchou to Yobarete iru Senchou no Yoru,7,14245,31,Summer 2013,Music
Hanamonogatari,104317,398,190641,Summer 2014,"Comedy, Mystery, Supernatural"
7-kakan.,214,10142,355,,Music
Pokemon: Pikachu Tanken Club,1620,5160,4357,,"Adventure, Comedy, Fantasy, Kids"
Tsuma Tsuma,1121,6206,2711,,Hentai
Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,7936,2983,15921,Spring 2011,"Action, Adventure, Fantasy, Comedy, Shounen"
Mamono Hunter Youko,3078,4126,7610,,"Fantasy, Magic, Comedy, Supernatural, Horror"
Peeping Life: TV Asahi Josei Announcer Collab,29,11973,149,,"Comedy, Slice of Life"
Xue Se Cang Qiong,94,8646,823,,"Action, Adventure, Mystery, Horror, Thriller, Fantasy"
Ball yo Doko e Yuku,81,11429,184,,Comedy
Blood+,108174,277,251517,Fall 2005,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire"
Rinkaku,497,8562,863,,"Dementia, Horror, Music"
Pochacco no Ninjin Hata wa Oosawagi,26,12584,119,,"Fantasy, Kids"
Bokusatsu Tenshi Dokuro-chan 2,50152,1033,80708,,"Magic, Ecchi, Comedy"
Heartcatch Precure!,5431,2945,16447,Winter 2010,"Action, Slice of Life, Fantasy, Magic, Comedy, School, Shoujo"
Okane ga Nai,19263,2017,32479,,"Drama, Romance, Yaoi"
Sore Ike! Anpanman: Buruburu no Takarasagashi Daibouken!,5,12679,115,,"Kids, Fantasy, Comedy"
Love Live! The School Idol Movie: Gekijou Manner CM,372,6691,2168,,Comedy
Hataraki Man,5282,2919,16704,Fall 2006,"Comedy, Drama, Romance, Seinen, Slice of Life"
Himitsu no Akko-chan,365,7530,1450,Winter 1969,"Magic, School, Shoujo"
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,1,3464,11608,Summer 2018,"Comedy, Magic, Fantasy"
Baku Tech! Bakugan,991,6552,2304,Spring 2012,"Action, Game, Shounen"
Dragon Ball Movie 2: Majinjou no Nemuri Hime,18965,1961,34199,,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Super Power"
Amanchu!: Yakusoku no Natsu to Atarashii Omoide no Koto,4560,3684,9971,,"Slice of Life, Comedy, School, Shounen"
Torajima no Miime,163,9560,492,Summer 2013,Slice of Life
Beelzebub Specials,3524,3256,13429,,"Action, Comedy, Supernatural, Demons, School, Shounen"
Gregory Horror Show: The Last Train,326,8826,742,Fall 2000,"Mystery, Comedy, Horror, Demons, Supernatural, Vampire"
Atashin&#039;chi Movie,113,10144,352,Summer 2013,"Comedy, Super Power"
009 Re:Cyborg x Zip,154,9396,536,Summer 2013,"Comedy, Super Power"
Betsu ni Anta no Tame ni Ookiku Natta n ja Nai n Dakara ne!!,2074,5032,4630,,Hentai
Time Slip Ichimannen: Prime Rose,256,8704,798,Summer 2013,"Action, Adventure, Romance, Sci-Fi, Drama"
Channel 5.5 4th Season Prologue,52,10870,240,Summer 2013,Comedy
Taiman Blues: Ladies-hen - Mayumi,22,11559,175,Summer 2013,Shounen
Nexus,1326,6164,2756,,Music
Utopia,1817,4997,4715,,Music
Future Card Buddyfight Hundred,728,6675,2178,Spring 2015,Game
Fireball Special,996,7135,1752,,"Comedy, Sci-Fi"
Asa da yo! Kaishain,30,10098,364,Spring 2016,Comedy
Winter Garden,2764,4563,5924,,"Drama, Romance, Shoujo, Slice of Life"
Overlord Movie 2: Shikkoku no Eiyuu,5426,2346,25274,,"Action, Game, Supernatural, Magic, Fantasy"
Tennis no Ouji-sama: Message in a Bottle,301,8003,1152,,"Comedy, Sports, School, Shounen"
Zero no Tsukaima: Futatsuki no Kishi,196211,206,305198,Summer 2007,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School"
Mahou no Yousei Persia: Kaiten Mokuba,12,12794,109,,"Comedy, Magic"
Marine Snow no Densetsu,51,10736,257,,Sci-Fi
Haruwo,179,9172,613,,Action
Norakuro,18,11649,169,Fall 1970,Comedy
Shin SOS Dai Tokyo Tankentai,451,8048,1132,,Adventure
Kazoku no Hanashi,322,9272,574,,"Drama, Music"
One Punch Man,691845,5,1020754,Fall 2015,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural, Seinen"
Ero Manga! H mo Manga mo Step-up♪,1617,4744,5384,,Hentai
JA Kumamoto Keizairen,53,11949,150,,Music
Inyouchuu Etsu,1137,5772,3274,,"Hentai, Demons, Supernatural, Magic, Romance, Fantasy"
SKET Dance: SD Character Flash Anime,609,6408,2470,,"Comedy, School, Shounen"
Sarazanmai,0,9727,447,,
I Love Sky,105,11179,206,,"Kids, Comedy"
Black Jack,5763,2715,19354,,Drama
Gra-P & Rodeo: Band wo P,9,12916,104,,"Music, Comedy"
Terra Formars,67171,640,131563,Fall 2014,"Action, Sci-Fi, Space, Horror, Drama, Seinen"
Gozonji! Gekkou Kamen-kun,44,10752,255,Fall 1999,"Parody, Comedy, Sci-Fi"
Miyamoto Musashi: Souken ni Haseru Yume,1240,5163,4341,Spring 2011,"Action, Historical, Martial Arts, Samurai"
Puchi Pri*Yucie,3959,3762,9470,Fall 2002,"Comedy, Magic, Fantasy, Shoujo"
