title,scored_by,popularity,members,premiered,genre
Makkuro na Obentou,9,11647,169,,"Drama, Historical"
Code Geass: Hangyaku no Lelouch Picture Drama - Hajimari no Zenya,485,6987,1890,,"Action, School"
Scan2Go,392,8158,1062,Summer 2010,"Cars, Kids, Shounen, Space, Sports"
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,73,10118,358,,"Adventure, Kids"
Shokuzai no Kyoushitsu,622,6999,1883,,Hentai
Majokko Shimai no Yoyo to Nene,4073,3511,11187,,"Fantasy, Magic"
Yuu Yuu Hakusho Special,0,4411,6405,,"Action, Adventure, Comedy, Demons, Supernatural, Martial Arts, Shounen"
Bernard-jou Iwaku.,5918,3130,14460,Fall 2016,"Comedy, School"
Himitsu no Akko-chan (Movie),92,10351,323,,"Magic, School, Shoujo"
Calihara no Uta,64,12271,134,,"Music, Kids"
Aoi Umi no Tristia,1221,6326,2569,,"Adventure, Mecha"
Dae Jang Geum: Jang Geum&#039;s Dream,454,7079,1799,Fall 2005,"Adventure, Comedy, Historical"
Space Dandy,75431,468,171855,Winter 2014,"Sci-Fi, Space, Comedy"
Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou,121,9331,556,,"Action, Mecha, Super Power, Sci-Fi, Shounen"
Ohi-sama to Kaeru,244,9730,445,,Comedy
Nanatsu no Taizai OVA,34252,1245,65495,,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen"
Ribbon no Kishi (1999),54,10857,243,,Adventure
Aoki Hagane no Arpeggio: Ars Nova,48992,821,105762,Fall 2013,"Action, Sci-Fi, Seinen"
ClassicaLoid 2nd Season,855,5092,4497,Fall 2017,"Music, Comedy"
Juvenile Pornography The Animation,682,7015,1872,,Hentai
Ichigo Ichie: Koibana Tomobana,48,10404,311,Fall 2007,"Slice of Life, Comedy, School"
Doraemon: Time Machine de Oshougatsu,265,8833,737,,"Sci-Fi, Adventure, Comedy, Kids, Shounen"
Chirin no Suzu,2361,4822,5161,,"Adventure, Drama, Fantasy"
MD Geist II: Death Force,3115,4815,5168,,"Mecha, Military, Sci-Fi"
Re:Creators,74531,347,214467,Spring 2017,"Action, Sci-Fi, Fantasy"
Hajimari no Boukensha-tachi: Legend of Crystania,1466,5670,3423,,"Action, Adventure, Fantasy, Magic, Supernatural"
Magical Music Train,75,12390,129,,Music
Rekka no Honoo,18254,1730,41792,Summer 1997,"Action, Adventure, Martial Arts, Shounen, Super Power"
Cosmic Fantasy: Ginga Mehyou no Wana,135,9763,438,,"Action, Sci-Fi, Space, Comedy, Romance, Fantasy"
Hibike! Euphonium,94024,367,203942,Spring 2015,"Music, School, Drama"
